productID,_id,productName,productDescription,productPageURL,productImageURL,productRating,
ksia_dutyfree_heritage_gift_set,ksia_dutyfree_heritage_gift_set,Saudi Heritage gift set,"Oud, dates and artisan crafts — popular departure gift. Pre-order for Gate B12 collection on SV 123.",https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_heritage_gift_set,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-saudi.png,5
ksia_dutyfree_arabian_oud,ksia_dutyfree_arabian_oud,Arabian Oud Signature,Exclusive KSIA duty-free fragrance blend — collect at your departure gate before boarding.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_arabian_oud,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-saudi.png,5
ksia_dutyfree_date_chocolate,ksia_dutyfree_date_chocolate,Date chocolate assortment,Local premium dates coated in dark chocolate — travel-friendly gift from KSIA duty-free.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_date_chocolate,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-2030.png,4
ksia_dutyfree_noise_earbuds,ksia_dutyfree_noise_earbuds,Noise-cancelling earbuds,Travel essentials with gate-side collection — ideal for long-haul departures from Terminal 1.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_noise_earbuds,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,4
ksia_dutyfree_luxury_fragrance_duo,ksia_dutyfree_luxury_fragrance_duo,Luxury fragrance duo,Personalised duty-free pick based on your profile — save 15% when you pre-order via AIVC.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_luxury_fragrance_duo,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-saudi.png,5
ksia_dutyfree_ajwa_dates,ksia_dutyfree_ajwa_dates,Ajwa dates premium box,Authentic Madinah ajwa dates — duty-free exclusive pack for gifts and hospitality.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_dutyfree_ajwa_dates,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-2030.png,4
ksia_parking_p1_short_stay,ksia_parking_p1_short_stay,P1 Short-stay parking,Closest parking to Terminal 1 departures — 2 min walk. Pay and extend with your AIVC wallet.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_parking_p1_short_stay,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-hero-1.jpg,5
ksia_parking_p3_long_stay,ksia_parking_p3_long_stay,P3 Long-stay parking,Best value for trips of 3+ days — covered options and shuttle to all terminals every 8 minutes.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_parking_p3_long_stay,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,4
ksia_parking_premium_valet,ksia_parking_premium_valet,Premium Valet parking,Kerbside handover at Terminal 1 — vehicle ready on return with optional wash and charge (mock).,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_parking_premium_valet,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-hero-1.jpg,5
ksia_restaurant_altitude_cafe,ksia_restaurant_altitude_cafe,Altitude Café,Coffee and light meals near Gate B12 — about 15 minutes from security for SV 123 passengers.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_altitude_cafe,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,5
ksia_restaurant_al_nakheel,ksia_restaurant_al_nakheel,Al Nakheel Restaurant,Saudi and Middle Eastern dining in Terminal 1 — halal menu with gluten-free options available.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_al_nakheel,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-saudi.png,4
ksia_restaurant_sushi_express,ksia_restaurant_sushi_express,Sushi Express,Japanese quick-service in Terminal 2 — pescatarian and nut-free options with short wait times.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_sushi_express,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-mbs.png,4
ksia_restaurant_grill_house,ksia_restaurant_grill_house,The Grill House,"International grill in Terminal 1 — halal steaks, salads, and table service before your flight.",https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_grill_house,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,4
ksia_restaurant_quick_bites,ksia_restaurant_quick_bites,Quick Bites,Fast food in Terminal 3 — grab-and-go meals with standard allergen information on menu boards.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_quick_bites,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-news-oct.webp,4
ksia_restaurant_levant_kitchen,ksia_restaurant_levant_kitchen,Levant Kitchen,Levantine mezze and mains in Terminal 2 — vegan platter and halal options for connecting guests.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_restaurant_levant_kitchen,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-saudi.png,5
ksia_lounge_alfursan_gold,ksia_lounge_alfursan_gold,Alfursan Gold lounge access,"Complimentary Saudia Alfursan Lounge in Terminal 1 — showers, hot buffet, and business zone.",https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_lounge_alfursan_gold,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,5
ksia_lounge_priority_pass,ksia_lounge_priority_pass,Priority Pass lounge access,Walk-in or pre-book partner lounges in Terminals 1 and 2 — subject to capacity.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_lounge_priority_pass,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,4
ksia_lounge_paid_day_pass,ksia_lounge_paid_day_pass,Paid lounge day pass,Same-day lounge entry when space is available — book through your AIVC companion.,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html?id=ksia_lounge_paid_day_pass,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/assets/images/ksia-gallery-gate.png,4
